Date,World,Transaction,Change,NewPremiumPoints,MoreInformation
"Jan 16, 2026 18:13","World 153","Points redeemed",-10,10520,"Construction time reduction - en153 - Smithy (level 13)"
"Jan 16, 2026 18:13","World 153","Points redeemed",-10,10530,"Instant completion - Smithy (level 12)"
"Jan 16, 2026 18:13","World 153","Points redeemed",-10,10540,"Construction time reduction - en153 - Smithy (level 12)"
"Jan 16, 2026 18:12","World 153","Points redeemed",-10,10550,"Construction time reduction - en153 - Smithy (level 12)"
"Jan 16, 2026 18:12","World 153","Points redeemed",-10,10560,"Construction time reduction - en153 - Smithy (level 14)"
"Jan 16, 2026 18:12","World 153","Points redeemed",-10,10570,"Construction time reduction - en153 - Smithy (level 13)"
"Jan 16, 2026 18:12","World 153","Points redeemed",-10,10580,"Construction time reduction - en153 - Smithy (level 12)"
"Jan 16, 2026 18:12","World 153","Points redeemed",-10,10590,"Instant completion - Smithy (level 11)"
"Jan 16, 2026 18:12","World 153","Points redeemed",-10,10600,"Construction time reduction - en153 - Smithy (level 11)"
"Jan 16, 2026 18:12","World 153","Points redeemed",-10,10610,"Instant completion - Smithy (level 10)"
"Jan 16, 2026 18:09","World 153","Points redeemed",-10,10620,"Construction time reduction - en153 - Smithy (level 14)"
"Jan 16, 2026 18:09","World 153","Points redeemed",-10,10630,"Construction time reduction - en153 - Smithy (level 12)"
"Jan 16, 2026 18:09","World 153","Points redeemed",-10,10640,"Construction time reduction - en153 - Smithy (level 13)"
"Jan 16, 2026 18:09","World 153","Points redeemed",-10,10650,"Construction time reduction - en153 - Smithy (level 14)"
"Jan 16, 2026 18:09","World 153","Points redeemed",-10,10660,"Construction time reduction - en153 - Smithy (level 11)"
"Jan 16, 2026 18:09","World 153","Points redeemed",-10,10670,"Construction time reduction - en153 - Smithy (level 10)"
"Jan 16, 2026 18:09","World 153","Points redeemed",-10,10680,"Instant completion - Smithy (level 9)"
"Jan 16, 2026 18:09","World 153","Points redeemed",-10,10690,"Instant completion - Smithy (level 8)"
"Jan 16, 2026 18:09","World 153","Points redeemed",-10,10700,"Construction time reduction - en153 - Smithy (level 8)"
"Jan 16, 2026 18:09","World 153","Points redeemed",-10,10710,"Instant completion - Smithy (level 7)"
"Jan 16, 2026 18:08","World 153","Points redeemed",-10,10720,"Construction time reduction - en153 - Smithy (level 9)"
"Jan 16, 2026 18:08","World 153","Points redeemed",-10,10730,"Construction time reduction - en153 - Smithy (level 10)"
"Jan 16, 2026 18:08","World 153","Points redeemed",-10,10740,"Construction time reduction - en153 - Smithy (level 9)"
"Jan 16, 2026 18:08","World 153","Points redeemed",-10,10750,"Construction time reduction - en153 - Smithy (level 11)"
"Jan 16, 2026 18:08","World 153","Points redeemed",-10,10760,"Construction time reduction - en153 - Smithy (level 10)"
"Jan 16, 2026 18:07","World 153","Points redeemed",-10,10770,"Construction time reduction - en153 - Smithy (level 11)"
"Jan 16, 2026 18:07","World 153","Points redeemed",-10,10780,"Construction time reduction - en153 - Smithy (level 9)"
"Jan 16, 2026 18:07","World 153","Points redeemed",-10,10790,"Construction time reduction - en153 - Smithy (level 7)"
"Jan 16, 2026 18:07","World 153","Points redeemed",-10,10800,"Instant completion - Smithy (level 6)"
"Jan 16, 2026 18:07","World 153","Points redeemed",-10,10810,"Construction time reduction - en153 - Smithy (level 6)"
"Jan 16, 2026 18:07","World 153","Points redeemed",-10,10820,"Instant completion - Headquarters (level 20)"
"Jan 16, 2026 18:01","World 153","Points redeemed",-10,10830,"Instant completion - Headquarters (level 19)"
"Jan 16, 2026 17:59","World 153","Points redeemed",-10,10840,"Construction time reduction - en153 - Smithy (level 6)"
"Jan 16, 2026 17:59","World 153","Points redeemed",-10,10850,"Construction time reduction - en153 - Smithy (level 8)"
"Jan 16, 2026 17:59","World 153","Points redeemed",-10,10860,"Construction time reduction - en153 - Smithy (level 7)"
"Jan 16, 2026 17:58","World 153","Points redeemed",-10,10870,"Construction time reduction - en153 - Smithy (level 8)"
"Jan 16, 2026 17:55","World 153","Points redeemed",-10,10880,"Construction time reduction - en153 - Clay pit (level 23)"
"Jan 16, 2026 17:55","World 153","Points redeemed",-10,10890,"Construction time reduction - en153 - Timber camp (level 23)"
"Jan 16, 2026 17:53","World 153","Points redeemed",-10,10900,"Construction time reduction - en153 - Headquarters (level 20)"
"Jan 16, 2026 17:53","World 153","Points redeemed",-10,10910,"Construction time reduction - en153 - Headquarters (level 19)"
"Jan 16, 2026 17:49","World 153","Points redeemed",-10,10920,"Construction time reduction - en153 - Headquarters (level 20)"
"Jan 16, 2026 17:49","World 153","Points redeemed",-10,10930,"Construction time reduction - en153 - Headquarters (level 19)"
"Jan 16, 2026 17:49","World 153","Points redeemed",-10,10940,"Construction time reduction - en153 - Headquarters (level 20)"
"Jan 16, 2026 17:49","World 153","Points redeemed",-10,10950,"Construction time reduction - en153 - Headquarters (level 19)"
"Jan 16, 2026 17:48","World 153","Points redeemed",-10,10960,"Instant completion - Headquarters (level 17)"
"Jan 16, 2026 17:48","World 153","Points redeemed",-10,10970,"Instant completion - Headquarters (level 16)"
"Jan 16, 2026 17:48","World 153","Points redeemed",-10,10980,"Instant completion - Headquarters (level 15)"
"Jan 16, 2026 17:48","World 153","Points redeemed",-10,10990,"Construction time reduction - en153 - Headquarters (level 15)"
"Jan 16, 2026 17:48","World 153","Points redeemed",-10,11000,"Instant completion - Headquarters (level 14)"
"Jan 16, 2026 17:48","World 153","Points redeemed",-10,11010,"Construction time reduction - en153 - Headquarters (level 18)"
"Jan 16, 2026 17:48","World 153","Points redeemed",-10,11020,"Construction time reduction - en153 - Headquarters (level 18)"
"Jan 16, 2026 17:48","World 153","Points redeemed",-10,11030,"Construction time reduction - en153 - Headquarters (level 18)"
"Jan 16, 2026 17:46","World 153","Points redeemed",-10,11040,"Construction time reduction - en153 - Headquarters (level 16)"
"Jan 16, 2026 17:46","World 153","Points redeemed",-10,11050,"Instant completion - Headquarters (level 13)"
"Jan 16, 2026 17:45","World 153","Points redeemed",-10,11060,"Construction time reduction - en153 - Headquarters (level 17)"
"Jan 16, 2026 17:45","World 153","Points redeemed",-10,11070,"Construction time reduction - en153 - Headquarters (level 17)"
"Jan 16, 2026 17:45","World 153","Points redeemed",-10,11080,"Construction time reduction - en153 - Headquarters (level 17)"
"Jan 16, 2026 17:45","World 153","Points redeemed",-10,11090,"Construction time reduction - en153 - Headquarters (level 16)"
"Jan 16, 2026 17:45","World 153","Points redeemed",-10,11100,"Construction time reduction - en153 - Headquarters (level 15)"
"Jan 16, 2026 17:45","World 153","Points redeemed",-10,11110,"Construction time reduction - en153 - Headquarters (level 14)"
"Jan 16, 2026 17:45","World 153","Points redeemed",-10,11120,"Construction time reduction - en153 - Headquarters (level 13)"
"Jan 16, 2026 17:45","World 153","Points redeemed",-10,11130,"Instant completion - Headquarters (level 12)"
"Jan 16, 2026 17:45","World 153","Points redeemed",-10,11140,"Construction time reduction - en153 - Headquarters (level 12)"
"Jan 16, 2026 17:34","World 153","Points redeemed",-10,11150,"Construction time reduction - en153 - Headquarters (level 13)"
"Jan 16, 2026 17:34","World 153","Points redeemed",-10,11160,"Construction time reduction - en153 - Headquarters (level 14)"
"Jan 16, 2026 17:34","World 153","Premium Exchange",-324,11170,"Premium Exchange: Iron purchased (60050)"
"Jan 16, 2026 17:34","World 153","Premium Exchange",-297,11494,"Premium Exchange: Clay purchased (60119)"
"Jan 16, 2026 17:34","World 153","Premium Exchange",-308,11791,"Premium Exchange: Wood purchased (60090)"
"Jan 16, 2026 17:34","World 153","Points redeemed",-10,12099,"Construction time reduction - en153 - Headquarters (level 15)"
"Jan 16, 2026 17:34","World 153","Points redeemed",-10,12109,"Construction time reduction - en153 - Headquarters (level 16)"
"Jan 16, 2026 17:22","World 153","Transfer",6,12119,"Premium Exchange: Iron sold (1414)"
"Jan 16, 2026 17:22","World 153","Transfer",12,12113,"Premium Exchange: Clay sold (2802)"
"Jan 16, 2026 17:22","World 153","Transfer",9,12101,"Premium Exchange: Wood sold (2113)"
"Jan 16, 2026 16:38","World 147","Points redeemed",-10,12092,"Trade resources with the village merchant"
"Jan 16, 2026 16:26","World 153","Premium Exchange",-328,12102,"Premium Exchange: Iron purchased (60036)"
"Jan 16, 2026 16:26","World 153","Premium Exchange",-210,12430,"Premium Exchange: Clay purchased (40075)"
"Jan 16, 2026 16:26","World 153","Premium Exchange",-207,12640,"Premium Exchange: Wood purchased (40040)"
"Jan 16, 2026 16:21","World 153","Premium Exchange",-75,12847,"Premium Exchange: Iron purchased (15129)"
"Jan 16, 2026 16:21","World 153","Premium Exchange",-76,12922,"Premium Exchange: Clay purchased (15000)"
"Jan 16, 2026 16:21","World 153","Premium Exchange",-75,12998,"Premium Exchange: Wood purchased (15164)"
"Jan 16, 2026 14:43","World 153","Premium Exchange",-68,13073,"Premium Exchange: Iron purchased (15045)"
"Jan 16, 2026 14:43","World 153","Premium Exchange",-76,13141,"Premium Exchange: Clay purchased (15144)"
"Jan 16, 2026 14:43","World 153","Premium Exchange",-76,13217,"Premium Exchange: Wood purchased (15002)"
"Jan 16, 2026 14:42","World 153","Purchase",8000,13293,"Payment method: adyen-visa."
"Jan 16, 2026 14:23","World 147","Points redeemed",-10,5293,"Construction time reduction - en147 - Wall (level 12)"
"Jan 16, 2026 12:16","World 147","Points redeemed",-10,5303,"Instant completion - Wall (level 1)"
"Jan 16, 2026 10:15","World 153","Premium Exchange",-45,5313,"Premium Exchange: Iron purchased (10151)"
"Jan 16, 2026 10:11","World 153","Points redeemed",-10,5358,"Construction time reduction - en153 - Farm (level 26)"
"Jan 16, 2026 10:11","World 153","Points redeemed",-10,5368,"Construction time reduction - en153 - Farm (level 26)"
"Jan 16, 2026 10:11","World 153","Points redeemed",-30,5378,"Reduce the construction cost -  - Farm (level 26)"
"Jan 15, 2026 23:46","World 153","Premium Exchange",-160,5408,"Premium Exchange: Iron purchased (30012)"
"Jan 15, 2026 23:46","World 153","Premium Exchange",-219,5568,"Premium Exchange: Clay purchased (42081)"
"Jan 15, 2026 23:46","World 153","Premium Exchange",-138,5787,"Premium Exchange: Wood purchased (30090)"
"Jan 15, 2026 22:51","World 153","Points redeemed",-10,5925,"Construction time reduction - en153 - Stable (level 12)"
"Jan 15, 2026 22:51","World 153","Points redeemed",-10,5935,"Construction time reduction - en153 - Farm (level 25)"
"Jan 15, 2026 22:51","World 153","Points redeemed",-10,5945,"Construction time reduction - en153 - Stable (level 12)"
"Jan 15, 2026 22:51","World 153","Points redeemed",-10,5955,"Construction time reduction - en153 - Farm (level 25)"
"Jan 15, 2026 22:51","World 153","Points redeemed",-10,5965,"Construction time reduction - en153 - Farm (level 25)"
"Jan 15, 2026 22:51","World 153","Points redeemed",-10,5975,"Construction time reduction - en153 - Farm (level 25)"
"Jan 15, 2026 22:51","World 153","Points redeemed",-30,5985,"Reduce the construction cost -  - Farm (level 25)"
"Jan 15, 2026 20:28","World 147","Points redeemed",-10,6015,"Instant completion - Wall (level 1)"
"Jan 15, 2026 14:14","World 153","Premium Exchange",-144,6025,"Premium Exchange: Iron purchased (30085)"
"Jan 15, 2026 14:14","World 153","Premium Exchange",-157,6169,"Premium Exchange: Clay purchased (30058)"
"Jan 15, 2026 14:14","World 153","Premium Exchange",-95,6326,"Premium Exchange: Wood purchased (20103)"
"Jan 15, 2026 11:46","World 153","Premium Exchange",-260,6421,"Premium Exchange: Iron purchased (50013)"
"Jan 15, 2026 11:46","World 153","Premium Exchange",-266,6681,"Premium Exchange: Clay purchased (50123)"
"Jan 15, 2026 11:46","World 153","Premium Exchange",-255,6947,"Premium Exchange: Wood purchased (50059)"
"Jan 15, 2026 11:23","World 153","Premium Exchange",-104,7202,"Premium Exchange: Iron purchased (20087)"
"Jan 15, 2026 11:23","World 153","Premium Exchange",-105,7306,"Premium Exchange: Clay purchased (20004)"
"Jan 15, 2026 07:10","World 153","Points redeemed",-10,7411,"Construction time reduction - en153 - Wall (level 19)"
"Jan 15, 2026 07:10","World 153","Points redeemed",-10,7421,"Construction time reduction - en153 - Wall (level 20)"
"Jan 15, 2026 07:09","World 153","Premium Exchange",-114,7431,"Premium Exchange: Clay purchased (18117)"
"Jan 15, 2026 02:17","World 153","Points redeemed",-10,7545,"Construction time reduction - en153 - Wall (level 18)"
"Jan 15, 2026 02:17","World 153","Points redeemed",-10,7555,"Construction time reduction - en153 - Wall (level 18)"
"Jan 15, 2026 00:19","World 153","Points redeemed",-10,7565,"Construction time reduction - en153 - Wall (level 16)"
"Jan 14, 2026 23:50","World 153","Points redeemed",-10,7575,"Construction time reduction - en153 - Farm (level 24)"
"Jan 14, 2026 23:50","World 153","Points redeemed",-10,7585,"Construction time reduction - en153 - Wall (level 17)"
"Jan 14, 2026 23:50","World 153","Points redeemed",-10,7595,"Construction time reduction - en153 - Farm (level 24)"
"Jan 14, 2026 23:50","World 153","Points redeemed",-30,7605,"Reduce the construction cost -  - Farm (level 24)"
"Jan 14, 2026 22:47","World 153","Points redeemed",-10,7635,"Construction time reduction - en153 - Wall (level 14)"
"Jan 14, 2026 22:47","World 153","Points redeemed",-10,7645,"Construction time reduction - en153 - Wall (level 17)"
"Jan 14, 2026 20:55","World 153","Points redeemed",-10,7655,"Construction time reduction - en153 - Wall (level 16)"
"Jan 14, 2026 20:42","World 153","Premium Exchange",-49,7665,"Premium Exchange: Iron purchased (6119)"
"Jan 14, 2026 20:41","World 153","Premium Exchange",-112,7714,"Premium Exchange: Clay purchased (12006)"
"Jan 14, 2026 20:41","World 153","Premium Exchange",-90,7826,"Premium Exchange: Wood purchased (10051)"
"Jan 14, 2026 19:47","World 147","Points redeemed",-200,7916,"Account Manager 30"
"Jan 14, 2026 19:29","World 153","Points redeemed",-10,8116,"Construction time reduction - en153 - Wall (level 15)"
"Jan 14, 2026 19:29","World 153","Premium Exchange",-219,8126,"Premium Exchange: Iron purchased (24092)"
"Jan 14, 2026 19:28","World 153","Premium Exchange",-286,8345,"Premium Exchange: Wood purchased (30059)"
"Jan 14, 2026 19:28","World 153","Premium Exchange",-445,8631,"Premium Exchange: Clay purchased (45029)"
"Jan 14, 2026 18:50","World 153","Points redeemed",-10,9076,"Construction time reduction - en153 - Warehouse (level 29)"
"Jan 14, 2026 18:19","World 153","Premium Exchange",-348,9086,"Premium Exchange: Iron purchased (37017)"
"Jan 14, 2026 18:19","World 153","Premium Exchange",-397,9434,"Premium Exchange: Clay purchased (40085)"
"Jan 14, 2026 18:19","World 153","Premium Exchange",-405,9831,"Premium Exchange: Wood purchased (40071)"
"Jan 14, 2026 18:18","World 153","Points redeemed",-10,10236,"Construction time reduction - en153 - Warehouse (level 29)"
"Jan 14, 2026 18:18","World 153","Points redeemed",-10,10246,"Construction time reduction - en153 - Warehouse (level 29)"
"Jan 14, 2026 18:18","World 153","Points redeemed",-10,10256,"Construction time reduction - en153 - Warehouse (level 29)"
"Jan 14, 2026 18:18","World 153","Points redeemed",-10,10266,"Construction time reduction - en153 - Warehouse (level 29)"
"Jan 14, 2026 18:18","World 153","Points redeemed",-30,10276,"Reduce the construction cost -  - Warehouse (level 29)"
"Jan 14, 2026 17:50","World 153","Points redeemed",-10,10306,"Construction time reduction - en153 - Warehouse (level 28)"
"Jan 14, 2026 17:49","World 153","Premium Exchange",-489,10316,"Premium Exchange: Iron purchased (55037)"
"Jan 14, 2026 17:49","World 153","Premium Exchange",-749,10805,"Premium Exchange: Clay purchased (80009)"
"Jan 14, 2026 17:49","World 153","Premium Exchange",-741,11554,"Premium Exchange: Wood purchased (80063)"
"Jan 14, 2026 17:48","World 153","Points redeemed",-10,12295,"Construction time reduction - en153 - Warehouse (level 28)"
"Jan 14, 2026 17:48","World 153","Points redeemed",-10,12305,"Construction time reduction - en153 - Warehouse (level 28)"
"Jan 14, 2026 17:48","World 153","Points redeemed",-10,12315,"Construction time reduction - en153 - Warehouse (level 28)"
"Jan 14, 2026 17:48","World 153","Points redeemed",-30,12325,"Reduce the construction cost -  - Warehouse (level 28)"
"Jan 14, 2026 17:47","World 153","Purchase",8000,12355,"Payment method: adyen-mastercard."
"Jan 14, 2026 16:10","World 153","Premium Exchange",-406,4355,"Premium Exchange: Iron purchased (45075)"
"Jan 14, 2026 16:07","World 153","Premium Exchange",-859,4761,"Premium Exchange: Clay purchased (75050)"
"Jan 14, 2026 16:07","World 153","Premium Exchange",-686,5620,"Premium Exchange: Wood purchased (60077)"
"Jan 14, 2026 14:53","World 153","Points redeemed",-10,6306,"Construction time reduction - en153 - Warehouse (level 27)"
"Jan 14, 2026 14:53","World 153","Points redeemed",-10,6316,"Construction time reduction - en153 - Warehouse (level 27)"
"Jan 14, 2026 14:53","World 153","Premium Exchange",-329,6326,"Premium Exchange: Wood purchased (30042)"
"Jan 14, 2026 14:53","World 153","Premium Exchange",-320,6655,"Premium Exchange: Clay purchased (30140)"
"Jan 14, 2026 14:52","World 153","Premium Exchange",-364,6975,"Premium Exchange: Iron purchased (40029)"
"Jan 14, 2026 14:52","World 153","Premium Exchange",-373,7339,"Premium Exchange: Clay purchased (40063)"
"Jan 14, 2026 14:52","World 153","Premium Exchange",-379,7712,"Premium Exchange: Wood purchased (40023)"
"Jan 14, 2026 14:10","World 153","Transfer",8000,8091,"from: Casto"
"Jan 14, 2026 14:09","World 153","Points redeemed",-10,91,"Construction time reduction - en153 - Warehouse (level 27)"
"Jan 14, 2026 14:09","World 153","Points redeemed",-10,101,"Construction time reduction - en153 - Warehouse (level 27)"
"Jan 14, 2026 14:09","World 153","Points redeemed",-30,111,"Reduce the construction cost -  - Warehouse (level 27)"
"Jan 14, 2026 14:09","World 153","Points redeemed",-10,141,"Construction time reduction - en153 - Warehouse (level 26)"
"Jan 14, 2026 14:09","World 153","Points redeemed",-10,151,"Construction time reduction - en153 - Warehouse (level 26)"
"Jan 14, 2026 14:07","World 153","Points redeemed",-10,161,"Construction time reduction - en153 - Warehouse (level 25)"
"Jan 14, 2026 14:07","World 153","Points redeemed",-10,171,"Construction time reduction - en153 - Warehouse (level 25)"
"Jan 14, 2026 14:06","World 153","Premium Exchange",-203,181,"Premium Exchange: Iron purchased (24119)"
"Jan 14, 2026 14:06","World 153","Premium Exchange",-266,384,"Premium Exchange: Clay purchased (30095)"
"Jan 14, 2026 14:06","World 153","Premium Exchange",-260,650,"Premium Exchange: Wood purchased (30071)"
"Jan 14, 2026 12:25","World 153","Points redeemed",-10,910,"Construction time reduction - en153 - Warehouse (level 26)"
"Jan 14, 2026 12:25","World 153","Points redeemed",-10,920,"Construction time reduction - en153 - Warehouse (level 25)"
"Jan 14, 2026 12:25","World 153","Points redeemed",-30,930,"Reduce the construction cost -  - Warehouse (level 26)"
"Jan 14, 2026 12:25","World 153","Points redeemed",-30,960,"Reduce the construction cost -  - Warehouse (level 25)"
"Jan 14, 2026 11:16","World 147","Points redeemed",-10,990,"Trade resources with the village merchant"
"Jan 14, 2026 11:14","World 147","Points redeemed",-10,1000,"Trade resources with the village merchant"
"Jan 14, 2026 09:47","World 153","Premium Exchange",-217,1010,"Premium Exchange: Wood purchased (20050)"
"Jan 14, 2026 09:47","World 153","Premium Exchange",-223,1227,"Premium Exchange: Clay purchased (20063)"
"Jan 14, 2026 09:47","World 153","Premium Exchange",-201,1450,"Premium Exchange: Iron purchased (20063)"
"Jan 14, 2026 09:45","World 153","Transfer",1500,1651,"from: Casto"
"Jan 14, 2026 07:56","World 153","Points redeemed",-30,151,"Reduce the construction cost -  - Academy (level 1)"
"Jan 14, 2026 07:04","World 153","Premium Exchange",-141,181,"Premium Exchange: Wood purchased (12025)"
"Jan 14, 2026 07:04","World 153","Premium Exchange",-90,322,"Premium Exchange: Iron purchased (8026)"
"Jan 14, 2026 07:03","World 153","Premium Exchange",-147,412,"Premium Exchange: Clay purchased (12065)"
"Jan 14, 2026 07:01","World 153","Premium Exchange",-91,559,"Premium Exchange: Iron purchased (8004)"
"Jan 14, 2026 07:01","World 153","Premium Exchange",-214,650,"Premium Exchange: Clay purchased (18028)"
"Jan 14, 2026 07:01","World 153","Premium Exchange",-202,864,"Premium Exchange: Wood purchased (18061)"
"Jan 14, 2026 06:11","World 153","Points redeemed",-10,1066,"Construction time reduction - en153 - Smithy (level 20)"
"Jan 14, 2026 06:11","World 153","Points redeemed",-10,1076,"Construction time reduction - en153 - Farm (level 23)"
"Jan 14, 2026 06:11","World 153","Points redeemed",-10,1086,"Construction time reduction - en153 - Smithy (level 20)"
"Jan 14, 2026 06:11","World 153","Points redeemed",-10,1096,"Construction time reduction - en153 - Smithy (level 20)"
"Jan 14, 2026 06:11","World 153","Points redeemed",-10,1106,"Construction time reduction - en153 - Smithy (level 20)"
"Jan 14, 2026 06:11","World 153","Points redeemed",-30,1116,"Reduce the construction cost -  - Smithy (level 20)"
"Jan 14, 2026 06:03","World 153","Premium Exchange",-204,1146,"Premium Exchange: Iron purchased (16028)"
"Jan 14, 2026 06:03","World 153","Premium Exchange",-263,1350,"Premium Exchange: Clay purchased (20026)"
"Jan 14, 2026 06:03","World 153","Premium Exchange",-274,1613,"Premium Exchange: Wood purchased (20050)"
"Jan 14, 2026 05:06","World 153","Points redeemed",-10,1887,"Construction time reduction - en153 - Farm (level 23)"
"Jan 14, 2026 05:06","World 153","Points redeemed",-30,1897,"Reduce the construction cost -  - Farm (level 23)"
"Jan 14, 2026 05:03","World 153","Premium Exchange",-72,1927,"Premium Exchange: Wood purchased (5056)"
"Jan 14, 2026 05:03","World 153","Points redeemed",-10,1999,"Construction time reduction - en153 - Smithy (level 19)"
"Jan 14, 2026 05:03","World 153","Points redeemed",-10,2009,"Construction time reduction - en153 - Smithy (level 19)"
"Jan 14, 2026 05:03","World 153","Points redeemed",-10,2019,"Construction time reduction - en153 - Smithy (level 19)"
"Jan 14, 2026 05:03","World 153","Points redeemed",-10,2029,"Construction time reduction - en153 - Smithy (level 19)"
